RecipeId,Name,Description,Calories,Protein,Fat,Carbs,Allergens,Ingredients,Equipment,DishType,Cuisine,Season,Cost,doc_text
1,Salad ức gà,Salad ức gà luộc với rau củ tươi.,320.0,30.0,8.0,25.0,[],"['ức gà', 'xà lách', 'cà chua', 'dưa chuột', 'dầu ô liu']","['dao', 'thớt', 'bát']",Main,vietnamese,summer,25000,"Salad ức gà | Salad ức gà luộc với rau củ tươi. | Ingredients: ức gà, xà lách, cà chua, dưa chuột, dầu ô liu | Calories: 320.0 | Protein: 30.0 | Fat: 8.0 | Carbs: 25.0 | Cuisine: vietnamese | Season: summer"
2,Gà hấp gừng,"Gà hấp với gừng và hành lá, vị thanh, ít dầu.",350.0,32.0,10.0,20.0,[],"['gà', 'gừng', 'hành lá', 'muối']","['nồi hấp', 'bếp']",Main,vietnamese,all,30000,"Gà hấp gừng | Gà hấp với gừng và hành lá, vị thanh, ít dầu. | Ingredients: gà, gừng, hành lá, muối | Calories: 350.0 | Protein: 32.0 | Fat: 10.0 | Carbs: 20.0 | Cuisine: vietnamese | Season: all"
3,Gà xào lạc,Gà xào với lạc và ớt chuông; vị bùi; cần tránh đậu phộng.,450.0,28.0,20.0,35.0,['đậu phộng'],"['gà', 'lạc', 'ớt chuông', 'hành tây', 'tỏi']","['chảo', 'bếp']",Main,vietnamese,all,35000,"Gà xào lạc | Gà xào với lạc và ớt chuông; vị bùi; cần tránh đậu phộng. | Ingredients: gà, lạc, ớt chuông, hành tây, tỏi | Allergens: đậu phộng | Calories: 450.0 | Protein: 28.0 | Fat: 20.0 | Carbs: 35.0 | Cuisine: vietnamese | Season: all"
4,Cá hồi nướng chanh,Cá hồi nướng sốt chanh bơ; giàu omega-3.,520.0,34.0,28.0,18.0,['cá'],"['cá hồi', 'chanh', 'bơ', 'tỏi', 'mùi tây']","['lò nướng', 'khay nướng']",Main,western,autumn,90000,"Cá hồi nướng chanh | Cá hồi nướng sốt chanh bơ; giàu omega-3. | Ingredients: cá hồi, chanh, bơ, tỏi, mùi tây | Allergens: cá | Calories: 520.0 | Protein: 34.0 | Fat: 28.0 | Carbs: 18.0 | Cuisine: western | Season: autumn"
5,Bò xào ớt chuông,"Thịt bò thăn xào nhanh, đậm vị, giàu protein.",480.0,36.0,18.0,30.0,[],"['thịt bò', 'ớt chuông', 'hành tây', 'tỏi', 'xì dầu']","['chảo', 'bếp']",Main,vietnamese,all,80000,"Bò xào ớt chuông | Thịt bò thăn xào nhanh, đậm vị, giàu protein. | Ingredients: thịt bò, ớt chuông, hành tây, tỏi, xì dầu | Calories: 480.0 | Protein: 36.0 | Fat: 18.0 | Carbs: 30.0 | Cuisine: vietnamese | Season: all"
6,Đậu phụ sốt cà,"Đậu phụ om sốt cà chua, hợp ăn chay.",360.0,22.0,14.0,32.0,['đậu nành'],"['đậu phụ', 'cà chua', 'hành', 'tỏi', 'dầu']","['nồi', 'bếp']",Main,vietnamese,all,20000,"Đậu phụ sốt cà | Đậu phụ om sốt cà chua, hợp ăn chay. | Ingredients: đậu phụ, cà chua, hành, tỏi, dầu | Allergens: đậu nành | Calories: 360.0 | Protein: 22.0 | Fat: 14.0 | Carbs: 32.0 | Cuisine: vietnamese | Season: all"
7,Mì Ý sốt bò bằm,Spaghetti sốt bò bằm cà chua; no lâu.,610.0,27.0,20.0,78.0,['gluten'],"['mì spaghetti', 'thịt bò', 'cà chua', 'hành tây', 'tỏi']","['nồi', 'bếp']",Main,western,all,60000,"Mì Ý sốt bò bằm | Spaghetti sốt bò bằm cà chua; no lâu. | Ingredients: mì spaghetti, thịt bò, cà chua, hành tây, tỏi | Allergens: gluten | Calories: 610.0 | Protein: 27.0 | Fat: 20.0 | Carbs: 78.0 | Cuisine: western | Season: all"
8,Tôm hấp sả,Tôm hấp sả gừng; ngọt tự nhiên; ít béo.,290.0,26.0,6.0,10.0,['tôm'],"['tôm', 'sả', 'gừng', 'muối']","['nồi hấp', 'bếp']",Main,vietnamese,summer,70000,"Tôm hấp sả | Tôm hấp sả gừng; ngọt tự nhiên; ít béo. | Ingredients: tôm, sả, gừng, muối | Allergens: tôm | Calories: 290.0 | Protein: 26.0 | Fat: 6.0 | Carbs: 10.0 | Cuisine: vietnamese | Season: summer"
9,Cơm gà Hội An,Cơm nghệ với gà xé; dưa leo; rau thơm.,520.0,24.0,14.0,78.0,[],"['gạo', 'gà', 'nghệ', 'dưa leo', 'rau thơm']","['nồi cơm', 'bếp']",Main,vietnamese,all,40000,"Cơm gà Hội An | Cơm nghệ với gà xé; dưa leo; rau thơm. | Ingredients: gạo, gà, nghệ, dưa leo, rau thơm | Calories: 520.0 | Protein: 24.0 | Fat: 14.0 | Carbs: 78.0 | Cuisine: vietnamese | Season: all"
10,Bún chả,Bún thịt nướng kèm rau sống và nước chấm.,580.0,30.0,20.0,70.0,['gluten'],"['bún', 'thịt heo', 'rau sống', 'nước mắm', 'đường']","['bếp', 'vỉ nướng']",Main,vietnamese,spring,45000,"Bún chả | Bún thịt nướng kèm rau sống và nước chấm. | Ingredients: bún, thịt heo, rau sống, nước mắm, đường | Allergens: gluten | Calories: 580.0 | Protein: 30.0 | Fat: 20.0 | Carbs: 70.0 | Cuisine: vietnamese | Season: spring"
11,Salad dưa chuột,Món salad nhẹ; chua ngọt; làm nhanh.,120.0,3.0,4.0,18.0,[],"['dưa chuột', 'giấm', 'đường', 'muối']","['dao', 'thớt', 'bát']",Side,western,summer,8000,"Salad dưa chuột | Món salad nhẹ; chua ngọt; làm nhanh. | Ingredients: dưa chuột, giấm, đường, muối | Calories: 120.0 | Protein: 3.0 | Fat: 4.0 | Carbs: 18.0 | Cuisine: western | Season: summer"
12,Khoai tây nghiền,Khoai tây nghiền bơ sữa; béo ngậy.,220.0,5.0,9.0,32.0,['sữa'],"['khoai tây', 'bơ', 'sữa', 'muối']","['nồi', 'dụng cụ nghiền']",Side,western,winter,18000,"Khoai tây nghiền | Khoai tây nghiền bơ sữa; béo ngậy. | Ingredients: khoai tây, bơ, sữa, muối | Allergens: sữa | Calories: 220.0 | Protein: 5.0 | Fat: 9.0 | Carbs: 32.0 | Cuisine: western | Season: winter"
13,Canh rau cải,Canh thanh mát; ít calo; hợp kèm món chính đạm.,90.0,4.0,2.0,12.0,[],"['rau cải', 'nước', 'hành', 'muối']","['nồi', 'bếp']",Side,vietnamese,all,6000,"Canh rau cải | Canh thanh mát; ít calo; hợp kèm món chính đạm. | Ingredients: rau cải, nước, hành, muối | Calories: 90.0 | Protein: 4.0 | Fat: 2.0 | Carbs: 12.0 | Cuisine: vietnamese | Season: all"
14,Bánh mì bơ tỏi,Bánh mì nướng bơ tỏi; thơm; hợp món Âu.,260.0,6.0,12.0,30.0,"['gluten', 'sữa']","['bánh mì', 'bơ', 'tỏi', 'mùi tây']",['lò nướng'],Side,western,all,12000,"Bánh mì bơ tỏi | Bánh mì nướng bơ tỏi; thơm; hợp món Âu. | Ingredients: bánh mì, bơ, tỏi, mùi tây | Allergens: gluten, sữa | Calories: 260.0 | Protein: 6.0 | Fat: 12.0 | Carbs: 30.0 | Cuisine: western | Season: all"
15,Nộm gà xé,Nộm gà xé bắp cải; chua cay nhẹ; ít béo.,300.0,25.0,10.0,24.0,[],"['gà xé', 'bắp cải', 'cà rốt', 'rau răm', 'lạc']","['dao', 'thớt', 'bát']",Main,vietnamese,summer,28000,"Nộm gà xé | Nộm gà xé bắp cải; chua cay nhẹ; ít béo. | Ingredients: gà xé, bắp cải, cà rốt, rau răm, lạc | Calories: 300.0 | Protein: 25.0 | Fat: 10.0 | Carbs: 24.0 | Cuisine: vietnamese | Season: summer"
16,Bún riêu chay,Bún riêu từ đậu phụ và cà chua; thanh đạm.,420.0,20.0,12.0,60.0,"['gluten', 'đậu nành']","['bún', 'đậu phụ', 'cà chua', 'dứa', 'hành']","['nồi', 'bếp']",Main,vietnamese,all,30000,"Bún riêu chay | Bún riêu từ đậu phụ và cà chua; thanh đạm. | Ingredients: bún, đậu phụ, cà chua, dứa, hành | Allergens: gluten, đậu nành | Calories: 420.0 | Protein: 20.0 | Fat: 12.0 | Carbs: 60.0 | Cuisine: vietnamese | Season: all"
